eeg_recording_id,behavioural_participant_id,mapping_status,contract_version
1,1,reviewed_same_identifier,v1
2,2,reviewed_same_identifier,v1
3,3,reviewed_same_identifier,v1
4,4,reviewed_same_identifier,v1
5,5,reviewed_same_identifier,v1
8,8,reviewed_same_identifier,v1
9,9,reviewed_same_identifier,v1
11,,explicitly_unmapped,v1
12,12,reviewed_same_identifier,v1
13,11,explicit_remap,v1
14,14,reviewed_same_identifier,v1
15,15,reviewed_same_identifier,v1
16,16,reviewed_same_identifier,v1
17,17,reviewed_same_identifier,v1
18,18,reviewed_same_identifier,v1
19,19,reviewed_same_identifier,v1
21,21,reviewed_same_identifier,v1
22,22,reviewed_same_identifier,v1
23,23,reviewed_same_identifier,v1
24,24,reviewed_same_identifier,v1
25,25,reviewed_same_identifier,v1
27,27,reviewed_same_identifier,v1
28,28,reviewed_same_identifier,v1
29,29,reviewed_same_identifier,v1
30,30,reviewed_same_identifier,v1
31,31,reviewed_same_identifier,v1
32,32,reviewed_same_identifier,v1
33,33,reviewed_same_identifier,v1
34,34,reviewed_same_identifier,v1
35,35,reviewed_same_identifier,v1
37,37,reviewed_same_identifier,v1
38,38,reviewed_same_identifier,v1
39,39,reviewed_same_identifier,v1
40,40,reviewed_same_identifier,v1
41,41,reviewed_same_identifier,v1
42,42,reviewed_same_identifier,v1
43,43,reviewed_same_identifier,v1
44,44,reviewed_same_identifier,v1
45,45,reviewed_same_identifier,v1
46,46,reviewed_same_identifier,v1
47,47,reviewed_same_identifier,v1
48,48,reviewed_same_identifier,v1
49,49,reviewed_same_identifier,v1
50,50,reviewed_same_identifier,v1
51,51,reviewed_same_identifier,v1
52,52,reviewed_same_identifier,v1
53,53,reviewed_same_identifier,v1
54,54,reviewed_same_identifier,v1
55,55,reviewed_same_identifier,v1
56,56,reviewed_same_identifier,v1
57,57,reviewed_same_identifier,v1
58,58,reviewed_same_identifier,v1
59,59,reviewed_same_identifier,v1
60,60,reviewed_same_identifier,v1
61,61,reviewed_same_identifier,v1
62,62,reviewed_same_identifier,v1
63,63,reviewed_same_identifier,v1
64,64,reviewed_same_identifier,v1
65,65,reviewed_same_identifier,v1
66,66,reviewed_same_identifier,v1
67,67,reviewed_same_identifier,v1
68,68,reviewed_same_identifier,v1
69,69,reviewed_same_identifier,v1
70,70,reviewed_same_identifier,v1
71,71,reviewed_same_identifier,v1
72,72,reviewed_same_identifier,v1
73,73,reviewed_same_identifier,v1
74,74,reviewed_same_identifier,v1
75,75,reviewed_same_identifier,v1
76,76,reviewed_same_identifier,v1
77,77,reviewed_same_identifier,v1
79,79,reviewed_same_identifier,v1
80,80,reviewed_same_identifier,v1
81,81,reviewed_same_identifier,v1
82,82,reviewed_same_identifier,v1
83,83,reviewed_same_identifier,v1
84,84,reviewed_same_identifier,v1
85,85,reviewed_same_identifier,v1
86,86,reviewed_same_identifier,v1
87,87,reviewed_same_identifier,v1
88,88,reviewed_same_identifier,v1
89,89,reviewed_same_identifier,v1
90,90,reviewed_same_identifier,v1
91,91,reviewed_same_identifier,v1
92,92,reviewed_same_identifier,v1
93,93,reviewed_same_identifier,v1
94,94,reviewed_same_identifier,v1
95,95,reviewed_same_identifier,v1
97,97,reviewed_same_identifier,v1
98,98,reviewed_same_identifier,v1
99,99,reviewed_same_identifier,v1
100,100,reviewed_same_identifier,v1
